alpha,exact,tau_min,denom_amp,stable_gji_relerr,stable_gjii_relerr,fp64_gji_relerr,fp64_gjii_relerr,fp64_q1_local_relerr,fp64_q2_local_relerr,fp32_gji_relerr,fp32_gjii_relerr,fp32_q1_local_relerr,fp32_q2_local_relerr,fp16_gji_relerr,fp16_gjii_relerr,fp16_q1_local_relerr,fp16_q2_local_relerr,fp8_e5m2_gji_relerr,fp8_e5m2_gjii_relerr,fp8_e5m2_q1_local_relerr,fp8_e5m2_q2_local_relerr,fp8_e4m3_gji_relerr,fp8_e4m3_gjii_relerr,fp8_e4m3_q1_local_relerr,fp8_e4m3_q2_local_relerr
1.05,0.7636716289439257,0.00013411566236365413,24709188.599027067,1.4537963472081234e-16,1.4537963472081234e-16,1.4537963472081234e-16,2.2969982285888347e-14,3.9851143139094706e-13,3.962975200199989e-09,6.713876496091618e-09,1.4542765272879865e-05,0.00022475749069631847,2.2351036094091588,1.8295202576617444e-05,0.041620441439970846,1.0,6749.97114580176,0.0008703864609019624,nan,1.0,nan,nan,nan,nan,nan
1.075,0.7563997153858664,0.0001296735792283843,26431054.197001673,4.403318782551864e-16,1.467772927517288e-16,4.403318782551864e-16,3.9629869042966775e-15,2.860734537877721e-15,2.8980304743423183e-11,1.4998984698805493e-08,3.827107590776163e-05,0.0003034273381475793,3.1200852842539533,3.4909041795692904e-05,0.07366237913607813,1.0,6525.9162112194645,0.0011887906805641856,nan,1.0,nan,nan,nan,nan,nan
1.1,0.7486786047092842,0.0001252773760223591,28318626.476074483,2.965820093272899e-16,7.414550233182248e-16,2.965820093272899e-16,5.842665583747612e-14,2.889351410176345e-13,3.0744948006875042e-09,1.1169792447887903e-08,9.608505298396532e-06,4.331020774762024e-05,0.46075060465319345,3.642085567688644e-05,0.1154161411581099,1.0,6301.860136743056,0.001604865419881431,nan,1.0,nan,nan,nan,nan,nan
1.125,0.7405085129089083,0.00012092727289125804,30392677.659394816,1.4992711160927973e-16,0.0,2.9985422321855946e-16,9.040604830039568e-14,2.629405428269921e-13,2.8992802749298878e-09,1.925952940951616e-08,4.911392593851962e-05,0.00014575457196213298,1.6074843688585254,4.832512611182865e-05,0.17022130125099913,1.0,6086.765773298251,0.002044461913072456,nan,1.0,nan,nan,nan,nan,nan
1.1500000000000001,0.731890244661799,0.00011662349533292371,32677240.52240347,1.0618478971484689e-15,6.067702269419821e-16,1.0618478971484689e-15,2.4559024935476727e-13,5.093401128322357e-13,5.82425484218669e-09,3.355710550942093e-08,0.00013613104784935466,0.000271539364439841,3.105420808428192,6.660944668604167e-05,0.24011245950300883,1.0,5871.670338121032,0.0025183684985377788,nan,1.0,nan,nan,nan,nan,nan
1.175,0.7228252101830088,0.00011236627443056424,35200231.383480884,1.5359495061663168e-16,1.5359495061663168e-16,1.5359495061663168e-16,2.2609176730768182e-13,2.9378881267381155e-13,3.4860209743853463e-09,1.3984833309215117e-08,2.4257841427894955e-05,2.908614787335472e-05,0.34577387375492785,8.624215819798492e-05,nan,1.0,nan,0.0030395554369304976,nan,1.0,nan,nan,nan,nan,nan
1.2000000000000002,0.7133154415691266,0.00010815584710105464,37994214.96611989,1.4007838102658114e-15,4.669279367552704e-16,1.2451411646807211e-15,4.873171233269172e-13,4.5461536887522783e-13,5.605323854447743e-09,4.937322229036011e-08,0.00022100824927438558,0.0002006168394513317,2.474255716145252,0.00016363009377995662,nan,1.0,nan,0.0036235583643507,nan,1.0,nan,nan,nan,nan,nan
1.225,0.7033636085740352,0.00010399245635922538,41097349.022041626,4.735344611626843e-16,3.1568964077512287e-16,4.735344611626843e-16,4.77954116133536e-13,2.8296941006070346e-13,3.6254887601403133e-09,4.416467405195367e-08,2.207601509310395e-06,1.7727960363916102e-05,0.22749178864149303,0.00018983280375313745,nan,1.0,nan,0.004288928098727505,nan,1.0,nan,nan,nan,nan,nan
1.25,0.6929730337600183,9.987635159713903e-05,44554558.324843965,2.563385229814608e-15,9.61269461180478e-16,2.403173652951195e-15,9.8530119770999e-14,3.8558588099457466e-15,5.277185504271943e-11,1.0836298770569354e-07,0.0005300312693468096,0.00021951657356418687,2.930755698763401,0.00022647573388377094,nan,1.0,nan,0.00832297219241531,nan,1.0,nan,nan,nan,nan,nan
1.2750000000000001,0.6821477069661674,9.580778888174102e-05,48419003.51502577,4.557113418699239e-15,1.6275405066782997e-15,4.882621520034899e-15,4.353670855364452e-13,1.6741941275600121e-13,2.3291171665934448e-09,5.28226757438644e-08,0.0001603776503480575,4.417960460095446e-05,0.6147729929329687,0.00045535298075250185,nan,1.0,nan,0.009261730366588592,nan,1.0,nan,nan,nan,nan,nan
1.3,0.6708922990349934,9.178703127193932e-05,52753931.983490266,1.0921979538393593e-14,4.468082538433743e-15,1.0425525923012065e-14,4.637869674894224e-12,9.966833580945836e-13,1.4478920407544742e-08,2.7395284969005837e-07,0.0018016823033834759,0.00037445196462996947,5.439712134718325,0.0005709259832985394,nan,1.0,nan,0.01087858430502996,nan,1.0,nan,nan,nan,nan,nan
1.3250000000000002,0.6592121747371613,8.781434915478004e-05,57635027.95883271,5.052499334077775e-15,1.6841664446925917e-15,5.389332623016294e-15,3.2726722353266444e-12,4.979078210613443e-13,7.558383770758759e-09,2.480365204025652e-07,0.0018063751363780428,0.00026843508505865004,4.076437136325223,0.0006584210886868663,nan,1.0,nan,0.012751101075302643,nan,1.0,nan,nan,nan,nan,nan
1.35,0.6471134048334228,8.389002060632533e-05,63153420.79963625,8.578272497004952e-16,1.8872199493410897e-15,5.146963498202971e-16,3.662064528971414e-12,4.0151166050883043e-13,6.380512699998734e-09,3.204273155133536e-07,0.001953222891826769,0.00019831372265093024,3.151923698742181,0.0008960551321540451,nan,1.0,nan,0.014926599488743204,nan,1.0,nan,nan,nan,nan,nan
